epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,170.131,1.96294,3.04399,2.83894,0.05903,0.89331,0.8509,0.89014,0.40104,1.2751,4.89252,1.88643,0.01483,0.000552832,0.000552832,0.000552832
2,354.004,1.68267,1.65228,2.24782,0.01714,0.89403,0.89538,0.9271,0.51562,1.07933,3.0917,1.59216,0.00753,0.00109752,0.00109752,0.00109752
3,592.637,1.61183,1.4843,2.09812,0.02018,0.94013,0.88936,0.9507,0.51983,1.03641,1.56661,1.6045,0.0075,0.00163121,0.00163121,0.00163121
4,816.149,1.5705,1.42509,2.0604,0.01581,0.93442,0.90075,0.9541,0.53398,1.09406,2.2385,1.57459,0.00688,0.00161749,0.00161749,0.00161749
5,1029.8,1.54763,1.27839,2.05295,0.01483,0.93557,0.93141,0.96815,0.53158,1.09416,1.22526,1.62143,0.00575,0.00160099,0.00160099,0.00160099
6,1232.7,1.48858,1.19614,1.96125,0.01151,0.96746,0.93178,0.97629,0.56342,0.97752,1.15044,1.53012,0.00599,0.00158448,0.00158448,0.00158448
7,1424.64,1.50962,1.15356,1.99716,0.01244,0.93363,0.95444,0.97002,0.54006,1.04459,2.38664,1.5594,0.00176,0.00156798,0.00156798,0.00156798
8,1594.68,1.44034,1.1303,1.96867,0.00805,0.94721,0.96282,0.98416,0.58755,0.99194,0.89109,1.51599,0.0018,0.00155148,0.00155148,0.00155148
9,1764.31,1.47715,1.11309,1.99092,0.0075,0.95247,0.94904,0.97815,0.57077,1.01259,0.83237,1.5205,0.00368,0.00153497,0.00153497,0.00153497
10,1972.41,1.41809,1.05194,1.94742,0.00858,0.96273,0.95233,0.98417,0.5809,1.00702,0.96722,1.51744,0.00203,0.00151847,0.00151847,0.00151847
11,2187.86,1.44867,1.04676,1.98407,0.00894,0.96666,0.94633,0.98112,0.56586,0.99638,0.68666,1.54866,0.00288,0.00150197,0.00150197,0.00150197
12,2404.96,1.41267,1.01925,1.93614,0.00722,0.9499,0.96478,0.98134,0.61155,0.93563,0.7591,1.4975,0.00168,0.00148546,0.00148546,0.00148546
13,2623.8,1.38166,0.98619,1.91885,0.00716,0.98015,0.95426,0.98733,0.55132,1.04667,0.71936,1.54369,0.00247,0.00146896,0.00146896,0.00146896
14,2834.28,1.36968,0.98798,1.9077,0.00712,0.95989,0.97151,0.97957,0.60428,0.9375,0.57288,1.48688,0.00173,0.00145246,0.00145246,0.00145246
15,3047.67,1.37673,0.97647,1.91724,0.00619,0.9601,0.95063,0.97331,0.56589,0.97266,0.94048,1.52851,0.00265,0.00143595,0.00143595,0.00143595
16,3264.84,1.36879,0.99808,1.92172,0.00609,0.96216,0.94087,0.98172,0.58274,0.97424,0.61766,1.46826,0.00363,0.00141945,0.00141945,0.00141945
17,3473.84,1.37421,0.92396,1.89996,0.00685,0.96136,0.96301,0.98601,0.60024,0.98195,0.70191,1.54068,0.00083,0.00140295,0.00140295,0.00140295
18,3687.68,1.37999,0.9574,1.94144,0.00619,0.96812,0.96485,0.97554,0.60107,0.93023,0.71488,1.47253,0.00077,0.00138644,0.00138644,0.00138644
